phylum	sub_phylum	class	order	family	genus	species	subspecies	Common Name	c_value	raw_C_value	Chrom num	Method	Cell type	Std sp	References	References
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Aphidius	ervi		Wasp	0.11	0.11		FIA	S	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Macrocentrus	grandii		Wasp	0.11	0.11		FIA	S	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Diptera	Cecidomyiidae	Mayetiola	destructor		Hessian fly (male)	0.12	0.12		FCM	BR	DM	Johnston, J.S., L.D. Ross, L. Beani, D.P. Hughes, and J. Kathirithamby (2004).  Tiny genomes and endoreduplication in Strepsiptera.  Insect Molecular Biology 13: 581-585.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Chironomus	nippodorsalis		Midge	0.12	0.12		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Dicrotendipes	pelochloris		Midge	0.12	0.12		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster		Fruit fly / Pomace fly / Vinegar fly	0.12	0.12		BCA	WB	NS	Laird, C.D. and B.J. McCarthy (1969). Molecular characterization of the Drosophila genome. Genetics 63: 865-882.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	simulans		Fruit fly / Pomace fly / Vinegar fly	0.12	0.12		BCA	WB	NS	Laird, C.D. and B.J. McCarthy (1969). Molecular characterization of the Drosophila genome. Genetics 63: 865-882.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Prodiamesa	olivacea		Midge	0.13	0.13		NS	NS	NS	Petitpierre, E. (1996). Molecular cytogenetics and taxonomy of insects, with particular reference to the Coleoptera. International Journal of Insect Morphology & Embryology 25: 115-133.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Prodiamesa	olivacea		Midge	0.13	0.13		FD	BR	GD	Zacharias, H. (1979). Underreplication of a polytene chromosome arm in the chironomid Prodiamesa olivacea. Chromosoma 72: 23-51.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Stictochironomus	akizukii		Midge	0.13	0.13		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Telmatogeton	japonicus		Midge	0.13	0.13		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	buzzatii		Fruit fly / Pomace fly / Vinegar fly	0.13	0.13		FIA	TS	DMO	Guillen, Y., N. Rius, A. Delprat, A. Williford, F. Muyas, M. Puig, S. Casillas, M. Ramia, R. Egea, B. Negre, G. Mir, J. Camps, V. Moncunill, F.J. Ruiz-Ruano, J. Cabrero, L.D. de Lima, G.B. Dias, J.C. Ruiz, A. Kapusta, J. Gracia-Mas, M. Gut, I.G. Gut, D. T	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	mercatorum		Fruit fly / Pomace fly / Vinegar fly	0.13	0.13		FCM	OV	DM	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Peristenus	digoneutis		Wasp	0.13	0.13		FIA	S	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Praon	sp.		Wasp	0.13	0.13		FIA	S	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Strepsiptera	Stylopidae	Xenos	vesparum		Twisted-wing parasite	0.13	0.13		FCM	BR	DM	Johnston, J.S., L.D. Ross, L. Beani, D.P. Hughes, and J. Kathirithamby (2004).  Tiny genomes and endoreduplication in Strepsiptera.  Insect Molecular Biology 13: 581-585.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	busckii		Fruit fly / Pomace fly / Vinegar fly	0.14	0.14		FCM	BR	DM	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	erecta		Fruit fly / Pomace fly / Vinegar fly	0.14	0.14		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	pseudoobscura		Fruit fly / Pomace fly / Vinegar fly	0.14	0.14		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	simulans		Fruit fly / Pomace fly / Vinegar fly	0.14	0.14		FCM	BR	TN	Nardon, C., G. Deceliere, C. Loevenbruck, M. Weiss, C. Vieira, C. Biémont (2005). Is genome size influenced by colonization of new environments in dipteran species?. Molecular Ecology 14: 869-878.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Aphidius	ervi		Wasp	0.14	0.14		FCM	BR	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Chironomus	plumosus		Midge	0.15	0.15		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Chironomus	sulfurosus		Midge	0.15	0.15		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Cricotopus	sp.		Midge	0.15	0.15		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	erecta		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	OV	DM	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	mauritiana		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	mauritiana		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	simulans		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	simulans		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	simulans		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	TN	Vieira, C., C. Nardon, C. Arpin, D. Lepetit, and C. Biémont (2002). Evolution of genome size in Drosophila. Is the invader's genome being invaded by transposable elements? Molecular Biology and Evolution 19: 1154-1161.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	subobscura		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	TN	Nardon, C., G. Deceliere, C. Loevenbruck, M. Weiss, C. Vieira, C. Biémont (2005). Is genome size influenced by colonization of new environments in dipteran species?. Molecular Ecology 14: 869-878.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	teissieri		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Hirtodrosophila	pictiventris		Fruit fly / Pomace fly / Vinegar fly	0.15	0.15		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Sepsidae	Themira	lucida		Black scavenger fly	0.15	0.15		FCM	BR	GD	Su, K.F.Y., J. Puniamoorthy, N. Ozsu, A. Srivathsan, and R. Meier (2016). Evolutionary analysis identifies multiple genome expansions and contractions in Sepsidae (Diptera) and suggests targets for future genomic research. Cladistics 32: 308-316.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Vespidae	Zethus	slossonae		Mason wasp	0.15	0.15		FIA	HE	TM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Coleoptera	Silvanidae	Oryzaephilus	surinamensis		Saw-toothed grain beetle	0.16	0.16		FCM	BR	DV	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809â€“823.	
Arthropoda	Hexapoda	Insecta	Coleoptera	Silvanidae	Oryzaephilus	surinamensis		Saw-toothed grain beetle	0.16	0.16		FCM	BR	DM	Sharaf, K., L. Horova, T. Pavlicek, E. Nevo, and P. Bures (2010). Genome size and base composition in Oryzaephilus surinamensis (Coleoptera: Sylvanidae) and differences between native (feral) and silo pest populations in Israel. Journal of Stored Products	
Arthropoda	Hexapoda	Insecta	Coleoptera	Tenebrionidae	Tribolium	audax		Flour beetle	0.16	0.16	20.00	FD	S	TC	Alvarez-Fuster, A., C. Juan, and E. Petitpierre (1991). Genome size in Tribolium flour-beetles: inter- and intraspecific variation. Genetical Research 58: 1-5.	
Arthropoda	Hexapoda	Insecta	Diptera	Cecidomyiidae	Mayetiola	destructor		Hessian fly (female)	0.16	0.16		FCM	BR	DM	Johnston, J.S., L.D. Ross, L. Beani, D.P. Hughes, and J. Kathirithamby (2004).  Tiny genomes and endoreduplication in Strepsiptera.  Insect Molecular Biology 13: 581-585.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Ablabesmyia	monilis		Midge	0.16	0.16		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Chironomus	fusciceps		Midge	0.16	0.16		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Chironomus	salinarius		Midge	0.16	0.16		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Glyptotendipes	tokunagai		Midge	0.16	0.16		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Tanypus	punctipennis		Midge	0.16	0.16		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Dixidae	Dixa	obscura		Meniscus midge	0.16	0.16		FD	TS	MD	Jost, E. and M. Mameli (1972). DNA content in nine species of Nematocera with special reference to the sibling species of the Anopheles maculipennis group and the Culex pipiens group. Chromosoma 37: 201-208.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	erecta		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	guttifera		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	OV	DM	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	TN	Nardon, C., G. Deceliere, C. Loevenbruck, M. Weiss, C. Vieira, C. Biémont (2005). Is genome size influenced by colonization of new environments in dipteran species?. Molecular Ecology 14: 869-878.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	mojavensis		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	OV	DM	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	pseudoobscura		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	santomea		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	simulans		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	OV	DM	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	teissieri		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	varians		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	DM, TF	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila	yakuba		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	BR	TN	Boulesteix, M., M. Weiss, and C. Biemont (2005). Differences in genome size between closely related species: the Drosophila melanogaster species subgroup. Molecular Biology and Evolution 23: 162-167.	
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Zaprionus	ghesquerei		Fruit fly / Pomace fly / Vinegar fly	0.16	0.16		FCM	OV	DM	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	
Arthropoda	Hexapoda	Insecta	Diptera	Sepsidae	Meroplius	alberquerquei		Black scavenger fly	0.16	0.16		FCM	BR	GD	Su, K.F.Y., J. Puniamoorthy, N. Ozsu, A. Srivathsan, and R. Meier (2016). Evolutionary analysis identifies multiple genome expansions and contractions in Sepsidae (Diptera) and suggests targets for future genomic research. Cladistics 32: 308-316.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Aphidius	ervi		Wasp	0.16	0.16		FCM	BR	DV	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809â€“823.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Dacnusa	sibirica		Wasp	0.16	0.16		FCM	BR	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Habrobracon	juglandis		Parasitic wasp	0.16	0.16		FD	HE, S	DM, GD, XL	Rasch, E.M., J.D. Cassidy, and R.C. King (1975). Somatic cell DNA content in haploid, diploid, and triploid adults of Mormoniella vitripennis. Journal of Cell Biology 67: 353A.	Rasch, E.M., J.D. Cassidy, and R.C. King (1977).  Evidence for dosage compensation in parthenogenetic hymenoptera. Chromosoma 59: 323-340.
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Habrobracon	serinopae		Parasitic wasp	0.16	0.16		FD	HE, S	DM, GD, OM	Rasch, E.M., J.D. Cassidy, and R.C. King (1977).  Evidence for dosage compensation in parthenogenetic hymenoptera. Chromosoma 59: 323-340.	Rasch, E.M. (1985). DNA "standards" and the range of accurate DNA estimates by Feulgen absorption microspectrophotometry. In: Advances in Microscopy, edited by R.R. Cowden and S.H. Harrison. Alan R. Liss, New York, pp.137-166.
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Macrocentrus	cingulum		Wasp	0.16	0.16		FCM	BR	DM	He, K., K. Lin, G. Wang, and F. Li (2016). Genome size of nine insect species determined by flow cytometry and k-mer analysis. Frontiers in Physiology 7: 569.	
